id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.id,area.name,area.code,area.flag,competition.id,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner.id,season.winner.name,season.winner.shortName,season.winner.tla,season.winner.crest,season.winner.address,season.winner.website,season.winner.founded,season.winner.clubColors,season.winner.venue,season.winner.lastUpdated,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg
327224,2021-12-01T19:30:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,340,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png,338,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png,DRAW,REGULAR,2,2,2,1,Activate Odds-Package in User-Panel to retrieve odds.
327227,2021-12-01T19:30:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11327, 'name': 'John Brooks', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,DRAW,REGULAR,0,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327228,2021-12-01T19:30:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11443, 'name': 'Chris Kavanagh', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,DRAW,REGULAR,1,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327229,2021-12-01T19:30:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11556, 'name': 'David Coote', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,346,Watford FC,Watford,WAT,https://crests.football-data.org/346.png,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,1,2,1,1,Activate Odds-Package in User-Panel to retrieve odds.
327231,2021-12-01T20:15:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11520, 'name': 'Paul Tierney', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,AWAY_TEAM,REGULAR,1,4,1,2,Activate Odds-Package in User-Panel to retrieve odds.
327232,2021-12-01T20:15:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11575, 'name': 'Mike Dean', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,AWAY_TEAM,REGULAR,1,2,0,2,Activate Odds-Package in User-Panel to retrieve odds.
327223,2021-12-02T19:30:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11567, 'name': 'Jonathan Moss', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,HOME_TEAM,REGULAR,2,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327225,2021-11-30T19:30:00Z,FINISHED,14,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11423, 'name': 'Andy Madley', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,68,Norwich City FC,Norwich,NOR,https://crests.football-data.org/68.png,DRAW,REGULAR,1,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327221,2021-12-06T20:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11575, 'name': 'Mike Dean', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,HOME_TEAM,REGULAR,2,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
327222,2021-12-05T16:30:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,338,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png,HOME_TEAM,REGULAR,2,1,1,1,Activate Odds-Package in User-Panel to retrieve odds.
327220,2021-12-05T14:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11556, 'name': 'David Coote', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.png,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,DRAW,REGULAR,2,2,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327214,2021-12-04T12:30:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11610, 'name': 'Andre Marriner', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,3,2,1,2,Activate Odds-Package in User-Panel to retrieve odds.
327219,2021-12-05T14:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11585, 'name': 'Craig Pawson', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,HOME_TEAM,REGULAR,1,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327218,2021-12-04T15:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11520, 'name': 'Paul Tierney', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,HOME_TEAM,REGULAR,1,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327216,2021-12-05T14:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 23568, 'name': 'Jarred Gillett', 'type': 'REFEREE', 'nationality': 'Australia'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,68,Norwich City FC,Norwich,NOR,https://crests.football-data.org/68.png,HOME_TEAM,REGULAR,3,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327215,2021-12-04T17:30:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11487, 'name': 'Kevin Friend', 'type': 'REFEREE', 'nationality': 'England'}, {'id': 11430, 'name': 'Simon Hooper', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,346,Watford FC,Watford,WAT,https://crests.football-data.org/346.png,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,AWAY_TEAM,REGULAR,1,3,0,2,Activate Odds-Package in User-Panel to retrieve odds.
327213,2021-12-04T15:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11443, 'name': 'Chris Kavanagh', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327217,2021-12-04T15:00:00Z,FINISHED,15,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,340,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,DRAW,REGULAR,1,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327211,2021-12-10T20:00:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,346,Watford FC,Watford,WAT,https://crests.football-data.org/346.png,HOME_TEAM,REGULAR,2,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
327209,2021-12-12T14:00:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11503, 'name': 'Graham Scott', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,DRAW,REGULAR,0,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327206,2021-12-12T14:00:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11309, 'name': 'Peter Bankes', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,338,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,HOME_TEAM,REGULAR,4,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
327210,2022-03-16T19:30:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,AWAY_TEAM,REGULAR,0,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
327212,2021-12-11T15:00:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 23568, 'name': 'Jarred Gillett', 'type': 'REFEREE', 'nationality': 'Australia'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,340,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png,HOME_TEAM,REGULAR,3,0,2,0,Activate Odds-Package in User-Panel to retrieve odds.
327208,2021-12-11T15:00:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11443, 'name': 'Chris Kavanagh', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.png,HOME_TEAM,REGULAR,3,2,1,1,Activate Odds-Package in User-Panel to retrieve odds.
327205,2021-12-11T15:00:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11494, 'name': 'Stuart Attwell', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,HOME_TEAM,REGULAR,1,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327204,2021-12-11T12:30:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11567, 'name': 'Jonathan Moss', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,HOME_TEAM,REGULAR,1,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
327203,2021-12-11T17:30:00Z,FINISHED,16,REGULAR_SEASON,,2022-06-16T08:20:23Z,"[{'id': 11469, 'name': 'Darren England', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,733,2021-08-13,2022-05-22,38,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z,68,Norwich City FC,Norwich,NOR,https://crests.football-data.org/68.png,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
